National Center for Education Statistics
"Revenues (in thousands) of public postsecondary institutions using GASB standards, by state and  source of funds: 2020"

Year,State,Total,Tuition and fees (net of allowances and discounts),Federal grants and contracts,State grants and contracts,Local grants and contracts,Sales and services of auxiliary enterprises,Sales and services of hospitals,Independent operations,Other operating revenues,Federal appropriations,State appropriations,Local appropriations,Federal nonoperating grants,State nonoperating grants,Local nonoperating grants,Gifts,Investment income,Other nonoperating revenues,Capital appropriations,Capital grants and gifts,Additions to permanent endowments,Other revenues and additions
2020,Washington,"$11,533,182","$2,165,490","$1,360,073","$475,106","$618,403","$793,656","$2,092,975",$638,"$565,036","$10,395","$1,732,845",$0,"$386,270","$49,880","$11,592","$260,356","$308,532","$153,463","$247,262","$186,978","$73,666","$40,564"
2020,West Virginia,"$2,028,480","$632,029","$147,478","$129,073","$125,446","$201,173",$0,$0,"$43,780",$193,"$403,997","$3,498","$139,730","$2,347","$5,003","$126,356","$17,481","$20,217",$174,"$24,420",$0,"$6,085"
2020,Wisconsin,"$7,022,906","$1,590,126","$729,633","$110,704","$391,674","$395,869","$52,589",$0,"$813,286","$15,536","$1,396,156","$471,901","$344,173","$7,835",$0,"$396,491","$59,062","$35,545","$192,188","$18,557","$1,337",$244
2020,Wyoming,"$855,495","$115,075","$97,941","$31,269","$20,602","$44,171",$0,$0,"$30,241","$2,874","$327,176","$52,106","$32,278","$4,241",$0,"$25,834","$17,093","$23,353","$12,312","$11,982","$3,454","$3,493"
2019,Total,"$402,775,285","$79,178,746","$29,713,715","$9,091,357","$14,571,091","$28,631,821","$53,477,810","$1,850,733","$23,145,452","$1,967,922","$73,609,186","$14,254,888","$21,152,987","$5,793,602","$384,048","$9,285,585","$9,937,230","$6,766,258","$6,106,671","$4,169,298","$1,468,592","$8,218,291"
2019,Alabama,"$8,972,373","$2,037,031","$807,528","$146,316","$130,308","$558,362","$2,500,115",$0,"$412,336","$3,438","$1,501,644","$2,912","$397,095",$604,$0,"$143,856","$124,136","$47,908","$2,330","$75,863","$55,202","$25,389"
2019,Alaska,"$842,350","$133,354","$125,787","$16,579","$50,653","$37,860",$0,$0,"$20,922",$0,"$339,368","$14,000","$23,148",$134,$0,$876,"$22,204","$19,985","$27,329","$6,008",$0,"$4,143"
2019,Arizona,"$7,417,649","$2,540,954","$651,332","$23,082","$262,301","$469,768",$0,$0,"$212,872","$13,599","$747,801","$932,549","$631,270","$65,442","$47,850","$199,945","$141,402","$349,617","$61,117","$38,142","$6,838","$21,769"
2019,Arkansas,"$4,472,398","$631,039","$253,693","$121,357","$60,494","$330,594","$1,301,036",$0,"$389,785",$263,"$762,525","$36,829","$241,974","$91,302","$6,088","$118,416","$43,861","$7,014","$4,307","$67,777","$1,555","$2,488"
2019,California,"$67,182,435","$8,339,881","$3,901,158","$2,263,561","$2,088,711","$2,491,874","$13,208,083",$0,"$6,945,741","$4,679","$11,711,700","$4,246,641","$3,296,352","$1,468,205","$85,706","$1,556,133","$815,183","$2,429,245","$477,342","$287,158","$58,284","$1,506,798"
2019,Colorado,"$9,312,066","$2,510,907","$1,184,671","$578,079","$288,371","$698,777","$1,260,263",$0,"$749,467","$613,325","$54,669","$113,177","$288,669","$15,133",$704,"$300,441","$233,290","$68,377","$59,000","$64,078",$969,"$229,700"
2019,Connecticut,"$4,084,526","$818,270","$198,823","$51,784","$50,438","$325,747","$449,046","$127,781","$162,759","$77,239","$1,149,944",$0,"$157,991","$13,661",$0,"$42,170","$21,456","$104,857","$276,691","$3,907",$216,"$51,746"
2019,Delaware,"$358,352","$84,861","$25,542","$15,975",$0,"$27,179",$0,$0,"$5,699",$0,"$119,878",$0,"$32,654",$0,"$9,812",$0,$608,"$7,609","$26,699",$0,$0,"$1,838"
2019,District of Columbia,"$168,022","$31,771","$12,949",$0,"$6,524",$459,$0,$0,"$2,342",$0,"$89,003",$0,"$7,840",$0,$0,"$1,622",$358,$0,"$15,153",$0,$0,$0
2019,Florida,"$14,474,721","$2,491,985","$1,260,072","$207,230","$1,219,680","$945,276",$0,"$8,422","$202,907","$2,701","$4,469,679","$40,643","$1,449,060","$719,237","$23,255","$377,721","$287,828","$192,132","$282,916","$190,163","$1,857","$101,958"
2019,Georgia,"$10,010,861","$2,301,199","$1,006,154","$126,597","$619,450","$943,955","$257,686",$0,"$406,987","$6,991","$2,558,121",$50,"$862,485","$25,950","$17,387","$141,666","$63,364","$21,626","$1,251","$578,280","$1,300","$70,363"
2019,Hawaii,"$1,865,534","$262,140","$309,001","$42,250","$51,483","$94,061",$0,"$31,043","$10,861",$0,"$506,399",$0,"$55,168","$294,706",$0,"$3,128","$18,316","$28,130","$133,996","$6,535",$0,"$18,317"
2019,Idaho,"$1,434,194","$385,936","$132,522","$30,760","$15,689","$109,593",$0,$0,"$49,726","$6,284","$447,266","$33,893","$91,707","$2,262",$0,"$70,562","$15,540","$7,595","$8,526","$20,948","$1,490","$3,895"
2019,Illinois,"$12,645,620","$2,451,841","$831,643","$208,412","$180,138","$857,770","$850,759","$11,670","$870,156","$13,541","$1,666,707","$1,141,645","$655,991","$657,713","$15,236","$238,322","$229,719","$1,709,618","$30,588","$14,695",$478,"$8,978"
2019,Indiana,"$8,129,522","$2,763,539","$639,891","$63,074","$294,883","$754,967",$0,$0,"$595,143","$19,143","$1,597,990","$9,050","$440,005","$100,918",$0,"$255,884","$365,287","$33,809","$70,842","$67,056","$58,041",$0
2019,Iowa,"$6,608,446","$1,083,542","$495,705","$65,356","$93,180","$597,335","$2,237,228","$46,139","$354,519",$0,"$818,363","$159,972","$162,445","$6,168",$0,"$174,891","$170,822","$20,269","$47,275","$72,036",$0,"$3,201"
2019,Kansas,"$3,989,991","$975,473","$367,237","$85,739","$114,544","$479,480",$0,$0,"$348,252","$19,084","$773,099","$321,956","$202,939","$5,285","$2,288","$98,668","$28,371","$23,368","$41,583","$63,997",$527,"$38,100"
2019,Kentucky,"$6,646,863","$1,099,805","$477,497","$169,963","$64,371","$408,783","$2,038,320",$0,"$485,693",$0,"$863,458","$26,689","$294,872","$171,599","$6,329","$103,203","$135,631","$34,683","$50,754","$115,248","$13,612","$86,352"
2019,Louisiana,"$4,524,455","$1,241,389","$326,499","$142,010","$668,473","$434,678","$12,435",$0,"$142,912",$0,"$788,014",$0,"$372,574","$3,912",$0,"$170,631","$71,027","$35,983","$54,002","$34,655","$13,221","$12,041"
2019,Maine,"$933,418","$245,018","$64,727","$30,051","$25,330","$85,108",$0,$0,"$51,308","$1,915","$281,795",$0,"$68,447",$200,$0,"$25,118","$19,812","$8,035","$7,091","$5,055","$11,156","$3,251"
2019,Maryland,"$8,146,284","$1,786,933","$851,335","$215,850","$277,438","$762,000",$0,"$1,115","$445,551","$464,644","$1,835,500","$432,064","$340,224","$10,235","$4,738","$69,935","$90,119","$70,355","$452,880","$30,571",$711,"$4,085"
2019,Massachusetts,"$5,657,423","$1,527,443","$413,521","$155,406","$158,511","$608,709",$0,"$61,362","$550,633","$7,004","$1,550,918",$627,"$291,255","$11,320",$0,"$55,000","$126,137","$4,650","$109,412","$16,947",$406,"$8,160"
2019,Michigan,"$18,701,858","$4,432,218","$1,654,946","$87,646","$508,101","$1,269,069","$4,845,098",$0,"$671,333","$12,773","$1,870,193","$595,807","$568,726","$3,823",$0,"$375,914","$1,228,819","$101,561","$54,455","$153,531","$240,210","$27,635"
2019,Minnesota,"$6,043,462","$1,370,460","$483,294","$73,306","$423,202","$697,837",$0,$0,"$186,405","$19,579","$1,399,090",$0,"$346,636","$209,937","$69,936","$250,672","$165,651","$8,788","$140,336","$27,740","$3,681","$166,913"
2019,Mississippi,"$4,819,031","$760,897","$402,455","$124,434","$88,565","$372,659","$1,176,072",$558,"$179,214","$32,869","$901,603","$75,698","$319,119","$31,259",$0,"$84,231","$47,661","$36,686","$123,637","$36,432","$5,237","$19,746"
2019,Missouri,"$5,633,191","$1,152,457","$227,042","$96,605","$110,994","$865,112","$1,085,583",$0,"$160,758","$30,112","$877,246","$171,846","$323,276","$12,513","$1,490","$119,533","$231,020","$44,415","$10,401","$75,999","$34,157","$2,633"
2019,Montana,"$1,151,678","$314,291","$182,829","$17,457","$28,869","$106,209",$0,$0,"$93,643","$3,957","$239,738","$11,291","$52,867",$844,$0,"$43,170","$15,429","$2,702","$5,760","$32,287",$66,$270
2019,Nebraska,"$2,960,136","$522,810","$297,069","$35,131","$200,049","$383,173","$18,784",$0,"$101,530",$0,"$722,158","$178,019","$117,235","$8,073",$690,"$151,976","$35,418","$24,837","$53,728","$83,672","$5,986","$19,799"
2019,Nevada,"$1,889,005","$445,364","$162,254","$53,210","$26,896","$104,424",$0,$375,"$173,232",$0,"$642,430",$0,"$127,888",$0,$0,"$59,307","$47,663","$13,827","$3,496","$28,401",$178,$58
2019,New Hampshire,"$1,054,212","$390,237","$71,541","$11,512","$42,740","$219,855",$0,$0,"$34,116",$0,"$128,075",$0,"$46,928","$4,138",$12,"$13,879","$62,261",$311,"$5,273","$3,634","$19,699",$0
2019,New Jersey,"$8,808,998","$2,509,888","$571,562","$247,871","$119,507","$565,383","$871,476","$1,632","$298,646","$7,061","$1,758,964","$219,988","$515,902","$298,819",$163,"$179,260","$154,579","$271,208","$47,967","$119,470","$29,659","$19,994"
2019,New Mexico,"$4,013,683","$306,581","$381,501","$64,387","$71,518","$90,488","$1,293,562","$9,033","$204,804","$24,841","$773,661","$290,546","$183,445","$43,582","$6,612","$43,615","$73,785","$21,877","$103,055","$11,236","$7,141","$8,413"
2019,New York,"$19,541,040","$2,881,727","$784,977","$593,547","$863,979","$758,240","$3,425,004",$0,"$249,475","$446,478","$5,367,643","$1,066,133","$1,366,660","$400,498","$19,383","$70,420","$125,939","$292,296","$758,470","$32,075",$52,"$38,043"
2019,North Carolina,"$12,949,755","$2,036,559","$1,052,392","$88,846","$278,503","$1,913,749",$0,"$19,575","$253,085",$0,"$4,152,839","$266,759","$849,060","$327,933","$9,197","$398,918","$381,973","$153,792","$364,175","$336,193","$58,181","$8,025"
2019,North Dakota,"$1,190,963","$330,488","$137,007","$27,524","$40,418","$102,112",$0,$20,"$100,555","$5,029","$309,055","$5,691","$40,359",$44,$0,"$38,664","$11,344","$6,758","$15,718","$19,926",$63,$189
2019,Ohio,"$15,322,783","$3,760,019","$718,783","$165,648","$470,611","$1,250,593","$4,357,612",$0,"$419,864","$1,286","$2,107,554","$216,296","$601,666","$50,991",$412,"$328,347","$476,377","$8,754","$228,877","$77,375","$51,552","$30,165"
2019,Oklahoma,"$5,214,649","$1,097,941","$365,170","$210,224","$258,352","$560,579","$147,962","$485,215","$185,939","$1,005","$774,316","$378,671","$273,013","$67,387",$3,"$139,260","$64,913","$72,903","$37,557","$57,288","$2,453","$34,498"
2019,Oregon,"$7,913,574","$1,349,361","$740,480","$84,740","$267,681","$585,334","$2,420,499",$0,"$221,956","$9,228","$738,257","$290,193","$262,479","$81,739","$9,991","$224,116","$231,187","$19,401","$86,286","$261,570","$29,074",$3
2019,Pennsylvania,"$3,389,315","$1,231,724","$63,010","$120,923","$21,680","$346,979",$0,$0,"$104,819","$2,816","$744,280","$123,767","$365,190","$27,445","$2,505","$34,924","$50,581","$38,950","$82,859","$23,039",$239,"$3,586"
2019,Rhode Island,"$925,662","$303,757","$80,506","$29,599","$7,517","$105,635",$0,"$22,195","$5,695",$0,"$180,341",$0,"$58,704","$2,675",$0,"$11,297","$4,940",$0,"$105,781","$5,017",$39,"$1,966"
2019,South Carolina,"$5,330,732","$1,731,280","$454,066","$408,842","$111,037","$569,251",$0,$0,"$423,271","$11,115","$692,827","$79,144","$293,003","$4,113",$85,"$257,115","$75,380","$15,525","$123,804","$60,207","$1,197","$19,469"
2019,South Dakota,"$943,684","$264,515","$100,590","$30,313","$30,465","$77,330",$0,$0,"$56,297","$6,861","$200,068",$0,"$51,611",$750,$0,"$27,554","$6,972","$6,898","$12,633","$63,122","$1,458","$6,248"
2019,Tennessee,"$5,296,527","$1,196,982","$283,879","$117,803","$232,949","$378,327",$0,"$17,997","$221,761","$15,910","$1,489,061",$0,"$450,558","$389,464",$50,"$76,302","$78,781","$20,272","$253,113","$48,990","$11,883","$12,444"
2019,Texas,"$40,303,877","$6,195,223","$2,290,549","$852,776","$2,060,057","$1,729,947","$3,317,021","$98,451","$3,152,046","$61,770","$6,260,687","$2,262,024","$2,106,499","$41,077","$36,937","$825,370","$2,050,971","$231,546","$412,446","$345,325","$458,862","$5,514,293"
2019,Utah,"$8,032,158","$939,343","$586,822","$35,396","$164,249","$288,739","$2,460,034","$906,741","$529,019",$0,"$1,101,069",$0,"$254,416","$32,735",$758,"$211,707","$201,857","$2,119","$168,728","$94,319","$40,685","$13,423"
2019,Vermont,"$951,649","$426,085","$129,609","$7,391","$63,038","$116,040",$0,$0,"$37,776",$0,"$72,801",$0,"$23,875",$0,$0,"$41,779","$27,745",$147,"$4,650",$194,$520,$0
2019,Virginia,"$11,704,202","$3,031,520","$969,516","$48,389","$233,999","$1,493,811","$1,751,418","$1,409","$246,447",$0,"$1,841,941","$3,359","$411,927","$29,797",$25,"$424,029","$475,531","$26,150","$320,375","$268,129","$84,852","$41,577"
2019,Washington,"$11,196,148","$2,168,939","$1,295,227","$428,594","$595,546","$895,138","$2,135,733",$0,"$524,954","$7,990","$1,609,536",$0,"$366,462","$45,683","$6,405","$212,278","$441,380","$18,975","$232,629","$46,257","$145,842","$18,578"
2019,West Virginia,"$1,939,644","$634,521","$139,544","$115,326","$122,892","$231,042",$0,$0,"$57,907",$191,"$379,716",$894,"$115,030","$1,669",$3,"$63,400","$24,211","$20,702",$143,"$27,639",$0,"$4,816"
2019,Wisconsin,"$6,795,704","$1,542,832","$665,567","$111,439","$383,921","$478,139","$56,979",$0,"$813,680","$9,288","$1,311,156","$458,251","$265,218","$8,434",$0,"$397,914","$101,807","$65,433","$56,850","$60,006","$5,857","$2,935"
2019,Wyoming,"$880,461","$106,417","$84,244","$43,051","$22,787","$54,295",$0,$0,"$20,653","$3,912","$329,038","$47,815","$31,073","$4,192",$0,"$32,446","$18,584","$14,557","$52,385","$11,107","$3,907",$0
2018,Total,"$395,766,344","$77,438,708","$28,102,960","$8,647,386","$13,831,632","$28,078,608","$49,318,388","$1,763,442","$21,676,713","$2,031,470","$72,555,306","$13,713,374","$21,077,159","$5,679,418","$383,236","$8,693,530","$15,988,655","$7,420,678","$6,335,749","$4,013,174","$1,360,786","$7,655,970"
2018,Alabama,"$8,718,214","$1,989,264","$714,569","$141,471","$129,828","$572,120","$2,280,790",$0,"$389,016","$5,913","$1,404,166","$2,917","$393,476",$566,$0,"$151,417","$251,242","$24,863",$350,"$119,238","$52,176","$94,833"
2018,Alaska,"$869,475","$136,384","$122,752","$15,607","$50,404","$39,222",$0,$0,"$23,044",$0,"$330,311","$13,986","$22,913",$263,$0,"$1,120","$19,630","$36,606","$42,227","$12,718",$0,"$2,288"
