National Center for Education Statistics
"Revenues (in thousands) of public postsecondary institutions using GASB standards, by state and  source of funds: 2020"

Year,State,Total,Tuition and fees (net of allowances and discounts),Federal grants and contracts,State grants and contracts,Local grants and contracts,Sales and services of auxiliary enterprises,Sales and services of hospitals,Independent operations,Other operating revenues,Federal appropriations,State appropriations,Local appropriations,Federal nonoperating grants,State nonoperating grants,Local nonoperating grants,Gifts,Investment income,Other nonoperating revenues,Capital appropriations,Capital grants and gifts,Additions to permanent endowments,Other revenues and additions
2012,Kentucky,"$5,148,333","$954,277","$438,238","$193,246","$51,754","$300,764","$1,084,839",$0,"$402,057",$0,"$969,989","$17,501","$380,796","$129,140","$4,783","$78,862","$18,787","$23,300","$5,932","$45,829","$12,330","$35,909"
2012,Louisiana,"$4,000,467","$791,720","$333,795","$241,951","$200,846","$340,265","$287,764",$3,"$190,618","$2,303","$944,649",$0,"$364,456",$980,$0,"$56,586","$51,244","$42,836","$107,661","$24,523","$6,226","$12,043"
2012,Maine,"$919,695","$216,316","$67,108","$47,318","$20,745","$92,353",$0,$0,"$49,385","$1,215","$255,518",$0,"$82,645",$427,$0,"$25,138","$3,259","$6,077","$10,723","$36,082","$3,869","$1,517"
2012,Maryland,"$6,836,869","$1,548,101","$793,086","$186,398","$227,276","$649,640",$0,"$1,293","$334,799","$439,024","$1,411,746","$310,463","$368,666","$10,168","$5,003","$65,318","$24,909","$53,596","$365,938","$26,168","$2,255","$13,022"
2012,Massachusetts,"$4,659,666","$1,197,276","$402,039","$112,217","$130,583","$428,542",$0,"$62,284","$577,579","$8,267","$1,047,294",$717,"$301,321","$11,096",$135,"$30,946","$43,279","$15,581","$219,852","$62,533",$513,"$7,614"
2012,Michigan,"$13,337,387","$3,564,227","$1,469,930","$59,757","$376,049","$1,071,907","$2,601,803","$6,463","$483,162","$13,444","$1,490,701","$523,771","$811,251","$4,037",$0,"$273,921","$143,111","$138,379","$85,266","$110,725","$98,915","$10,567"
2012,Minnesota,"$5,053,633","$1,265,215","$513,955","$49,716","$298,450","$597,554",$0,$0,"$193,597","$15,146","$1,095,626",$0,"$415,345","$133,989","$60,380","$172,663","$42,286","$2,355","$116,931","$37,490","$11,622","$31,311"
2012,Mississippi,"$3,993,870","$548,043","$370,314","$89,324","$85,022","$267,205","$704,269",$160,"$159,266","$17,376","$939,075","$59,716","$433,559","$34,508",$0,"$83,918","$10,182","$34,162","$117,762","$30,253","$3,951","$5,806"
2012,Missouri,"$4,774,400","$1,035,996","$268,286","$100,240","$92,325","$734,490","$656,903",$0,"$155,995","$28,408","$839,383","$148,497","$437,598","$5,323","$2,180","$120,972","$39,264","$15,574","$1,401","$21,921","$26,524","$43,119"
2012,Montana,"$1,018,201","$278,828","$174,268","$17,075","$17,167","$86,022","$15,484",$0,"$72,150","$2,041","$192,319","$8,404","$77,728",$257,$645,"$28,523","$6,778","$8,934","$2,694","$27,408",$118,"$1,357"
2012,Nebraska,"$2,351,516","$404,450","$245,921","$30,810","$144,206","$286,557","$25,752",$0,"$110,892",$46,"$616,412","$127,737","$142,302","$4,033",$699,"$88,529","$24,593","$3,967","$27,542","$65,392",$700,$976
2012,Nevada,"$1,362,281","$335,187","$141,148","$28,902","$36,256","$91,760",$0,$0,"$61,706",$0,"$466,961",$0,"$123,760",$0,$0,"$31,027","$16,209","$5,053","$6,667","$17,196",$450,$0
2012,New Hampshire,"$939,405","$371,385","$65,790","$14,986","$49,308","$198,475",$0,$0,"$24,358",$0,"$80,192",$0,"$49,715",$435,$10,"$6,069","$-5,354","$43,062","$30,225","$7,328",$2,"$3,420"
2012,New Jersey,"$7,327,808","$2,029,277","$497,279","$234,789","$176,399","$585,610","$920,868","$8,322","$182,979","$8,782","$1,495,920","$194,701","$526,863","$196,379",$831,"$41,686","$28,613","$39,473","$53,666","$31,117","$19,855","$54,397"
2012,New Mexico,"$3,203,410","$273,385","$385,027","$79,373","$77,873","$120,755","$624,117","$4,082","$258,174","$17,332","$675,069","$126,890","$243,899","$37,338",$125,"$33,492","$27,716","$139,621","$59,154","$8,662","$2,447","$8,881"
2012,New York,"$16,212,598","$2,436,890","$797,343","$548,663","$500,852","$955,386","$2,459,479",$0,"$200,096","$415,059","$4,248,987","$797,232","$1,284,142","$283,743","$1,919","$71,486","$21,705","$437,561","$667,950","$78,168","$2,343","$3,593"
2012,North Carolina,"$10,263,991","$1,539,459","$823,784","$103,887","$205,612","$1,427,382",$974,"$17,085","$171,482","$26,541","$3,387,420","$200,980","$1,053,771","$289,849","$23,675","$244,653","$54,629","$49,436","$228,625","$350,417","$55,268","$9,063"
2012,North Dakota,"$1,115,052","$275,366","$164,278","$25,316","$33,517","$113,007",$0,$650,"$79,335","$7,901","$276,228","$2,686","$47,265",$197,$241,"$25,878","$3,981","$1,246","$36,583","$21,211",$10,$156
2012,Ohio,"$12,345,635","$3,478,021","$798,871","$135,801","$379,357","$1,116,246","$2,550,550",$430,"$306,880","$10,396","$1,868,688","$159,767","$889,810","$32,775",$924,"$260,393","$81,770","$38,926","$111,644","$75,516","$46,070","$2,799"
2012,Oklahoma,"$4,483,254","$797,681","$279,693","$159,493","$173,883","$456,635","$67,631","$352,745","$178,106","$10,356","$968,568","$286,594","$332,674","$94,401",$19,"$73,313","$19,703","$83,694","$55,133","$58,543","$3,799","$30,591"
2012,Oregon,"$5,722,757","$1,122,000","$675,695","$54,627","$117,474","$459,727","$1,442,402",$0,"$233,088","$8,009","$583,336","$210,454","$378,500","$41,823","$10,723","$147,237","$56,540","$56,902","$55,603","$46,394","$11,818","$10,406"
2012,Pennsylvania,"$3,269,486","$1,179,510","$61,430","$132,962","$19,366","$377,493",$0,$0,"$102,742","$3,846","$651,819","$111,526","$421,657","$29,421","$1,129","$22,670","$17,772","$35,200","$76,547","$16,596",$125,"$7,677"
2012,Rhode Island,"$780,754","$264,236","$87,381","$33,822","$4,714","$102,825",$0,"$19,995","$9,367",$0,"$141,208",$0,"$55,618",$0,$0,"$7,516",$478,"$4,971","$43,098","$4,193",$0,"$1,333"
2012,South Carolina,"$4,063,741","$1,304,733","$416,150","$276,191","$84,643","$398,300",$0,$922,"$274,733","$11,507","$465,402","$62,322","$382,552","$2,165",$106,"$179,194","$24,521","$28,472","$63,033","$64,139","$19,412","$5,243"
2012,South Dakota,"$800,354","$214,192","$125,186","$20,411","$22,607","$66,209",$0,$0,"$63,654","$9,375","$159,652",$0,"$57,703","$4,721",$3,"$5,894","$6,712","$3,193","$5,292","$31,722",$190,"$3,639"
2012,Tennessee,"$4,409,221","$1,004,400","$337,188","$92,625","$167,859","$299,677",$0,"$84,695","$189,206","$14,872","$1,047,928","$5,655","$540,167","$276,162",$0,"$71,625","$20,382","$11,384","$138,814","$83,247","$12,173","$11,161"
2012,Texas,"$30,181,917","$4,658,797","$2,082,244","$688,613","$1,334,581","$1,258,911","$1,922,484",$944,"$1,628,342","$41,845","$5,022,641","$1,452,266","$1,997,738","$14,373","$1,118","$573,111","$3,647,605","$204,031","$238,002","$224,384","$243,687","$2,946,200"
2012,Utah,"$5,092,607","$685,592","$436,113","$29,716","$116,285","$195,995","$1,267,170","$473,569","$275,561",$0,"$715,056",$0,"$268,851","$45,910",$556,"$84,401","$40,436",$531,"$294,013","$137,182","$21,655","$4,013"
2012,Vermont,"$760,959","$348,332","$127,751","$5,123","$38,683","$102,133",$0,$0,"$23,398",$0,"$67,894",$0,"$29,989",$0,$0,"$11,722","$-4,365",$461,"$3,899","$2,822","$3,114",$0
2012,Virginia,"$9,002,575","$2,286,363","$821,400","$38,535","$161,802","$1,165,625","$1,173,193","$1,168","$192,546",$0,"$1,414,583","$2,638","$456,870","$22,890",$142,"$284,930","$225,067","$106,037","$357,909","$182,358","$61,542","$46,976"
2012,Washington,"$7,687,968","$1,616,870","$1,289,925","$304,762","$319,597","$522,263","$1,097,525",$0,"$409,337","$10,760","$1,078,210",$0,"$436,535","$104,749","$31,963","$117,556","$95,362","$11,625","$140,372","$38,808","$54,932","$6,816"
2012,West Virginia,"$1,948,499","$520,511","$148,107","$120,707","$74,388","$221,689",$0,$0,"$58,030",$829,"$434,528","$1,685","$149,008",$574,$0,"$29,875","$4,499","$14,591","$23,023","$100,486","$1,745","$44,223"
2012,Wisconsin,"$6,404,192","$1,294,046","$712,773","$101,306","$351,418","$482,556",$0,$0,"$616,764","$15,435","$943,010","$769,923","$346,835","$4,368",$0,"$251,524","$4,450","$58,325","$251,740","$68,586","$1,524","$129,607"
2012,Wyoming,"$804,486","$78,962","$45,014","$48,905","$13,946","$59,262",$0,$0,"$35,405",$0,"$333,566","$45,274","$39,775","$4,028",$10,"$25,677","$2,950","$43,121","$17,174","$5,883","$5,532",$0
2011,Total,"$314,982,581","$57,666,978","$28,497,743","$6,894,985","$10,167,763","$22,913,763","$28,687,750","$1,290,113","$15,186,205","$1,937,466","$62,612,670","$10,261,107","$24,439,890","$3,425,253","$229,111","$5,592,358","$12,956,922","$6,909,997","$5,645,126","$3,745,699","$965,007","$4,956,675"
2011,Alabama,"$7,062,203","$1,315,917","$768,169","$115,814","$158,068","$755,423","$1,328,100","$14,005","$320,535","$8,881","$1,281,923","$1,204","$508,311",$105,$0,"$133,034","$13,719","$145,412","$56,688","$104,366","$31,886",$642
2011,Alaska,"$932,535","$117,381","$108,686","$18,818","$50,114","$39,265",$0,$0,"$28,163",$0,"$351,831",$0,"$25,122",$0,$0,$0,"$22,803","$51,143","$73,866","$43,343",$0,"$2,000"
2011,Arizona,"$5,401,665","$1,383,048","$556,105","$31,335","$130,718","$372,336",$0,$0,"$125,887","$13,298","$1,006,196","$744,262","$639,472","$39,325","$26,570","$159,687","$52,029","$56,126","$36,242","$21,200","$3,656","$4,173"
2011,Arkansas,"$3,640,926","$397,490","$257,586","$96,154","$86,526","$238,500","$868,685",$0,"$244,734",$329,"$761,235","$30,375","$335,620","$108,630","$1,720","$81,222","$41,007","$20,129","$21,379","$41,750",$133,"$7,721"
2011,California,"$44,635,088","$5,306,894","$3,920,100","$982,855","$1,482,421","$1,787,454","$6,417,015",$0,"$3,775,176","$5,391","$9,424,470","$2,497,701","$3,077,809","$519,471","$28,868","$875,126","$640,318","$1,776,711","$666,267","$423,039","$17,043","$1,010,959"
2011,Colorado,"$6,123,298","$1,566,758","$973,166","$415,498","$183,461","$503,303","$547,479",$0,"$360,520","$583,631","$40,961","$82,141","$331,699","$9,524",$47,"$136,752","$161,949","$53,853","$58,900","$77,797","$2,497","$33,364"
2011,Connecticut,"$3,064,267","$575,264","$268,706","$61,750","$40,430","$267,504","$271,170","$182,357","$93,778",$0,"$1,023,428",$0,"$133,942","$2,428",$0,"$26,167","$1,847","$59,742","$48,698","$1,989",$21,"$5,047"
2011,Delaware,"$281,694","$65,013","$28,709","$16,134",$0,"$13,674",$0,$0,"$5,905",$0,"$97,227",$0,"$30,592",$0,"$6,138",$37,"$1,203","$4,368","$10,456",$112,$0,"$2,126"
2011,District of Columbia,"$179,633","$28,756","$16,958",$0,"$10,440",$436,$0,$0,"$11,859",$0,"$66,420",$0,"$13,767",$0,$0,"$1,360",$935,"$14,209","$14,493",$0,$0,$0
2011,Florida,"$11,640,912","$1,902,773","$1,075,449","$177,600","$870,224","$758,547",$0,"$12,257","$169,289","$2,065","$3,378,687","$16,470","$1,521,887","$467,604","$4,817","$58,730","$188,980","$252,263","$593,499","$182,430",$33,"$7,309"
2011,Georgia,"$7,518,223","$1,638,238","$692,213","$79,905","$396,953","$752,393","$196,852","$2,001","$219,322",$10,"$1,938,523",$23,"$937,111","$10,578","$17,105","$112,541","$22,897","$24,555","$2,018","$454,756","$1,170","$19,058"
2011,Hawaii,"$1,631,285","$225,027","$368,061","$17,522","$45,200","$91,060",$0,"$26,552","$22,773",$0,"$359,077",$0,"$61,959","$156,561",$0,"$3,621","$12,676","$8,834","$204,614","$15,326",$0,"$12,422"
2011,Idaho,"$1,241,061","$263,217","$126,456","$24,437","$22,645","$114,642",$0,$0,"$38,664","$5,203","$312,809","$13,398","$185,613","$1,117",$0,"$45,318","$12,798","$3,860","$20,325","$13,217","$37,341",$0
2011,Illinois,"$11,182,645","$2,254,019","$858,332","$197,672","$192,667","$909,162","$601,791","$15,172","$707,728","$37,434","$1,789,860","$1,001,566","$865,301","$266,218","$20,276","$155,046","$51,598","$1,161,484","$68,146","$25,031",$945,"$3,197"
2011,Indiana,"$6,771,474","$2,037,564","$615,320","$63,114","$208,716","$713,708",$0,$0,"$359,539","$17,129","$1,431,488","$7,951","$536,302","$75,808",$311,"$179,334","$373,282","$59,689","$33,133","$31,984","$23,862","$3,243"
2011,Iowa,"$4,752,473","$754,875","$603,914","$67,287","$88,719","$444,447","$1,065,744","$38,369","$270,826",$0,"$731,485","$107,022","$232,335","$3,337",$0,"$112,098","$144,152","$6,747","$38,733","$20,457",$0,"$21,926"
2011,Kansas,"$3,267,054","$723,832","$387,658","$45,390","$127,150","$298,804",$0,$0,"$250,509","$15,108","$743,951","$228,630","$226,458","$5,793","$2,313","$55,719","$36,969","$42,654","$28,516","$42,822","$1,253","$3,523"
2011,Kentucky,"$5,383,272","$899,179","$478,461","$213,054","$47,222","$282,659","$1,005,561",$0,"$379,778",$0,"$971,263","$18,261","$395,631","$126,851","$4,844","$85,873","$172,962","$73,171","$85,917","$100,127","$22,398","$20,060"
2011,Louisiana,"$4,342,000","$697,479","$335,569","$266,311","$189,926","$326,521","$315,557",$1,"$209,394","$28,233","$1,018,696",$0,"$441,280","$1,069",$0,"$43,636","$49,751","$248,059","$115,135","$29,092","$14,951","$11,340"
2011,Maine,"$928,947","$210,601","$74,973","$46,085","$20,996","$96,664",$0,$0,"$55,135",$467,"$252,786",$0,"$82,686","$6,950",$0,"$12,483","$33,988","$2,491","$5,954","$23,416","$2,450",$822
2011,Maryland,"$6,692,110","$1,460,145","$840,511","$181,776","$212,084","$605,746",$0,"$1,689","$321,483","$430,727","$1,392,864","$319,337","$355,061","$8,718","$4,771","$49,144","$68,918","$49,748","$356,246","$22,621","$1,468","$9,052"
2011,Massachusetts,"$4,560,974","$1,102,416","$443,237","$107,737","$130,392","$394,611",$0,"$53,746","$640,700","$9,273","$1,035,145",$531,"$285,395","$15,704",$146,"$34,754","$97,754","$70,164","$94,118","$39,779","$3,338","$2,033"
2011,Michigan,"$15,049,663","$3,321,282","$1,422,055","$63,855","$364,149","$1,034,544","$2,411,131","$5,470","$473,810","$10,477","$1,715,318","$551,945","$866,157","$3,910",$0,"$270,034","$2,068,738","$222,994","$75,301","$77,566","$90,835",$92
2011,Minnesota,"$5,297,262","$1,205,536","$491,723","$49,496","$275,826","$590,713",$0,$0,"$152,952","$69,416","$1,206,301",$0,"$471,827","$123,127","$52,177","$169,150","$187,282",$75,"$141,281","$56,512","$2,118","$51,750"
2011,Mississippi,"$4,023,249","$493,031","$452,730","$96,605","$71,284","$261,884","$668,734",$310,"$121,885","$38,719","$868,311","$58,179","$496,803","$34,534",$0,"$73,482","$37,574","$45,806","$105,556","$69,429","$3,040","$25,353"
2011,Missouri,"$4,879,064","$956,173","$278,273","$100,095","$85,253","$732,499","$616,483",$0,"$130,162","$28,631","$906,518","$150,436","$438,766","$5,905","$1,968","$75,984","$277,898","$13,041","$23,523","$27,289","$29,287",$878
2011,Montana,"$1,008,519","$269,752","$176,881","$17,640","$17,744","$84,977",$0,"$20,333","$60,097","$4,584","$173,250","$8,151","$78,943",$269,$304,"$24,603","$9,866","$25,072","$17,929","$17,948",$162,$11
2011,Nebraska,"$2,372,403","$372,097","$249,955","$31,837","$143,534","$276,429","$27,653",$0,"$117,552",$302,"$621,957","$120,979","$141,522","$3,819",$517,"$102,322","$33,463","$50,424","$23,754","$53,461",$472,$354
2011,Nevada,"$1,549,690","$328,805","$147,151","$34,971","$43,147","$93,802",$0,$0,"$61,332",$0,"$539,712",$0,"$119,039",$0,$0,"$34,760","$77,285","$56,173","$-3,049","$13,443","$3,119",$0
2011,New Hampshire,"$1,011,894","$332,173","$61,969","$15,407","$54,695","$195,452",$0,$0,"$26,427",$0,"$131,878",$7,"$51,421","$2,967",$7,"$6,359","$11,110","$30,438","$22,892","$8,236","$56,046","$4,410"
2011,New Jersey,"$7,172,567","$1,921,346","$461,916","$274,844","$176,302","$539,213","$888,477",$0,"$189,446","$8,767","$1,495,505","$211,853","$509,955","$147,909",$503,"$55,366","$48,439","$130,342","$63,926","$26,390","$21,000","$1,069"
2011,New Mexico,"$3,437,062","$259,413","$418,514","$114,494","$78,173","$121,193","$628,888","$4,445","$236,738","$16,932","$724,046","$120,930","$249,974","$5,149",$305,"$69,650","$124,018","$145,306","$57,927","$28,076","$20,173","$12,719"
2011,New York,"$15,562,174","$2,314,414","$833,446","$466,785","$512,575","$940,700","$2,011,711",$0,"$178,027","$349,034","$4,247,199","$762,484","$1,317,515","$269,002","$1,832","$70,808","$39,536","$522,978","$617,878","$96,145",$814,"$9,292"
2011,North Carolina,"$10,649,043","$1,397,544","$824,967","$98,440","$235,299","$1,322,074",$0,"$16,223","$185,497","$24,858","$3,434,423","$196,168","$1,092,601","$348,095","$26,578","$219,288","$344,363","$168,179","$232,447","$390,557","$80,873","$10,568"
2011,North Dakota,"$1,085,482","$258,447","$169,998","$19,735","$29,665","$105,442",$0,$77,"$71,868","$5,646","$268,488","$2,459","$53,858",$0,$72,"$25,440","$10,727",$947,"$38,382","$24,066",$99,$66
2011,Ohio,"$13,140,621","$3,268,675","$803,363","$140,862","$418,530","$982,746","$2,349,051","$14,705","$456,945","$74,954","$1,895,680","$166,002","$1,013,460","$39,663",$680,"$226,492","$845,721","$130,802","$195,601","$60,655","$55,198",$834
2011,Oklahoma,"$4,412,121","$734,141","$279,275","$169,084","$173,259","$419,502","$69,036","$323,001","$161,572","$15,481","$997,989","$272,164","$349,568","$88,893",$27,"$74,336","$40,514","$91,001","$48,797","$77,376","$3,287","$23,817"
2011,Oregon,"$5,618,214","$1,041,237","$640,641","$55,347","$119,293","$441,711","$1,316,947",$0,"$250,307","$10,235","$537,918","$206,762","$371,955","$26,832","$8,046","$145,523","$153,147","$152,659","$41,814","$74,732","$18,907","$4,200"
2011,Pennsylvania,"$3,290,038","$1,107,122","$74,865","$116,532","$18,239","$371,624",$0,$0,"$83,203","$6,065","$708,613","$118,190","$460,144","$24,738","$1,560","$24,483","$25,339","$55,439","$60,820","$26,314",$174,"$6,574"
2011,Rhode Island,"$744,569","$261,165","$78,031","$28,563","$5,301","$101,030",$0,"$21,509","$7,591",$0,"$137,071",$0,"$52,420",$0,$0,"$7,901",$726,"$2,163","$39,520","$1,579",$0,$0
2011,South Carolina,"$4,111,072","$1,212,011","$434,041","$274,353","$62,906","$369,569",$0,$0,"$273,207","$14,171","$480,329","$62,995","$417,371","$2,698",$135,"$173,221","$59,189","$102,228","$46,358","$84,432","$35,149","$6,711"
2011,South Dakota,"$825,968","$195,540","$141,597","$19,490","$19,234","$60,921",$0,$0,"$53,507","$12,522","$157,444",$0,"$60,887","$5,180",$10,"$4,341","$3,542","$11,704","$25,383","$45,931","$1,070","$7,663"
2011,Tennessee,"$4,660,411","$897,602","$352,432","$99,080","$207,130","$291,506",$0,"$66,479","$144,232","$13,817","$1,301,905","$5,327","$582,073","$291,313",$366,"$65,883","$137,506","$10,410","$112,356","$60,988","$12,714","$7,292"
2011,Texas,"$31,676,209","$4,271,691","$2,244,736","$751,628","$1,294,821","$1,177,768","$1,774,837",$914,"$1,626,937","$44,624","$5,179,075","$1,377,390","$2,210,038","$15,579",$176,"$537,184","$4,539,970","$449,575","$239,666","$309,183","$214,205","$3,416,211"
2011,Utah,"$4,710,183","$623,542","$419,445","$28,997","$117,301","$201,612","$1,178,146","$469,658","$245,959",$0,"$706,590",$0,"$312,431","$47,246",$698,"$79,949","$143,404",$872,"$35,079","$53,413","$25,289","$20,551"
2011,Vermont,"$842,234","$330,742","$141,310","$7,577","$32,470","$101,704",$0,$0,"$22,730",$0,"$72,472",$1,"$31,483",$0,$0,"$17,516","$71,719",$381,"$4,730","$1,947","$5,453",$0
2011,Virginia,"$9,307,096","$2,093,929","$843,024","$37,226","$150,293","$1,084,449","$1,064,876",$840,"$158,711",$0,"$1,485,910","$2,644","$455,537","$17,855",$288,"$287,788","$881,112","$187,183","$332,250","$126,422","$28,519","$68,239"
2011,Washington,"$8,212,155","$1,451,066","$1,305,030","$283,240","$336,988","$507,411","$1,063,827",$0,"$359,040","$10,213","$1,333,677",$0,"$441,974","$81,547","$14,925","$122,611","$461,543","$15,743","$268,790","$75,923","$75,169","$3,436"
2011,West Virginia,"$1,835,338","$493,260","$172,392","$112,338","$71,938","$206,768",$0,$0,"$55,852","$2,530","$396,783",$575,"$161,828","$4,184",$0,"$23,208","$11,650","$31,393","$7,877","$46,678","$6,454","$29,632"
2011,Wisconsin,"$6,453,819","$1,257,677","$692,624","$110,735","$343,195","$476,635",$0,$0,"$637,212","$18,310","$1,151,462","$757,773","$362,965","$4,756",$0,"$215,775","$69,744","$66,811","$126,092","$94,421","$2,698","$64,935"
2011,Wyoming,"$810,723","$71,679","$87,021","$49,480","$14,148","$53,024",$0,$0,"$31,712",$0,"$326,523","$38,818","$44,021","$4,293",$10,"$27,216","$39,260","$4,443","$8,902","$1,932","$8,239",$0
2010,Total,"$295,147,543","$53,552,540","$27,174,897","$6,702,988","$9,685,070","$21,502,247","$27,125,159","$1,320,068","$14,436,898","$2,144,122","$61,987,875","$10,216,017","$20,924,461","$3,145,897","$232,793","$5,261,275","$9,318,235","$5,264,270","$6,042,654","$3,780,010","$873,870","$4,456,195"
2010,Alabama,"$6,934,719","$1,226,737","$736,601","$113,222","$149,796","$336,523","$1,228,813","$11,963","$647,993","$8,544","$1,289,317","$1,124","$468,603",$108,$0,"$123,437","$251,854","$124,682","$73,956","$102,296","$28,121","$11,030"
2010,Alaska,"$829,523","$107,901","$127,332","$22,693","$50,136","$39,799",$0,$0,"$19,979",$0,"$339,770","$8,993","$13,811",$250,$0,$490,"$13,538","$24,176","$40,742","$19,312",$0,$600
2010,Arizona,"$5,111,488","$1,252,520","$504,075","$33,857","$128,743","$364,058",$0,$0,"$107,536","$23,243","$1,011,599","$732,188","$527,254","$46,181","$25,430","$152,315","$33,699","$107,679","$36,484","$14,528","$3,020","$7,080"
2010,Arkansas,"$3,469,595","$408,363","$236,064","$84,800","$83,688","$230,953","$834,153",$0,"$229,082","$4,285","$760,204","$30,776","$285,284","$35,781","$2,041","$89,092","$42,050","$16,693","$29,494","$22,779",$58,"$43,955"
2010,California,"$40,032,555","$4,813,058","$3,668,289","$1,047,777","$1,437,436","$1,782,844","$5,882,111",$0,"$3,284,214","$16,166","$8,915,689","$2,466,685","$2,466,638","$456,003","$29,528","$869,633","$556,908","$685,452","$612,251","$354,477","$11,153","$676,242"
2010,Colorado,"$5,824,922","$1,381,504","$877,016","$248,760","$178,493","$480,684","$487,159",$0,"$320,948","$647,336","$35,675","$96,324","$313,742","$15,359",$71,"$138,507","$138,642","$287,046","$69,613","$66,479","$1,841","$39,723"
2010,Connecticut,"$3,216,468","$553,617","$298,122","$60,144","$40,864","$253,224","$252,772","$181,856","$83,067",$0,"$999,922",$0,"$105,863","$2,401",$0,"$21,700","$4,686","$38,916","$312,180","$2,396",$56,"$4,681"
2010,Delaware,"$260,536","$59,280","$22,152","$19,469",$100,"$12,084",$0,$0,"$6,007",$0,"$100,535",$0,"$24,681",$0,"$5,502",$100,$745,$349,"$2,000",$0,$0,"$7,531"
2010,District of Columbia,"$134,971","$26,696","$17,418",$0,"$11,661",$910,$0,$0,"$4,696",$0,"$62,070",$0,"$4,850",$0,$0,"$2,894","$2,303",$0,"$1,473",$0,$0,$0
2010,Florida,"$10,680,153","$1,770,294","$1,064,312","$192,884","$798,209","$732,924",$0,"$12,695","$149,005","$3,202","$3,193,633","$20,739","$1,271,634","$405,286","$5,232","$45,592","$231,136","$238,085","$355,713","$180,070",$3,"$9,507"
2010,Georgia,"$6,952,931","$1,439,839","$628,951","$74,775","$373,305","$706,634","$201,302","$1,458","$187,361","$93,922","$1,770,643",$0,"$896,363","$6,404","$18,490","$133,024","$26,131","$83,891","$2,872","$306,393",$55,"$1,118"
2010,Hawaii,"$1,541,672","$210,701","$347,953","$27,379","$48,299","$83,730",$0,"$14,290","$7,442",$0,"$366,836",$0,"$51,172","$149,814",$0,"$3,226","$8,599","$3,259","$189,776","$10,131",$0,"$19,067"
2010,Idaho,"$1,177,453","$232,922","$113,040","$29,550","$19,394","$107,442",$0,$0,"$36,824","$3,919","$324,563","$12,900","$143,511",$0,$0,"$41,471","$5,107","$12,366","$41,386","$25,363","$27,695",$0
2010,Illinois,"$10,780,975","$2,132,697","$797,439","$199,552","$198,708","$904,229","$617,642","$12,960","$651,457","$30,879","$1,779,274","$967,455","$773,478","$239,231","$14,146","$166,512","$113,226","$1,050,372","$50,764","$77,724",$111,"$3,119"
2010,Indiana,"$6,413,316","$1,925,046","$576,401","$68,303","$200,749","$688,432",$0,$0,"$348,108","$13,956","$1,435,078","$6,932","$445,007","$66,590",$915,"$161,390","$338,124","$32,889","$17,131","$56,718","$28,591","$2,955"
2010,Iowa,"$4,532,185","$701,366","$617,268","$66,376","$83,162","$430,821","$965,672","$34,231","$246,628",$0,"$781,895","$99,099","$198,620","$3,476",$0,"$107,091","$101,952","$32,795","$50,835","$8,836",$0,"$2,062"
2010,Kansas,"$3,075,684","$686,086","$328,769","$59,975","$115,225","$284,970",$0,$0,"$223,367","$15,825","$734,203","$229,963","$189,167","$4,771","$2,506","$62,741","$33,341","$30,256","$33,228","$38,245","$1,779","$1,266"
2010,Kentucky,"$5,109,467","$838,262","$456,040","$175,687","$45,794","$263,142","$976,869",$0,"$361,622",$200,"$967,970","$16,437","$336,695","$131,153","$4,884","$60,771","$123,638","$82,931","$149,384","$62,658","$27,577","$27,755"
2010,Louisiana,"$4,162,155","$621,670","$358,782","$291,919","$177,948","$322,969","$339,625",$0,"$227,898","$21,393","$1,024,925",$0,"$353,972",$0,$0,"$32,822","$37,521","$152,689","$120,690","$46,158","$17,383","$13,790"
2010,Maine,"$878,118","$209,560","$70,165","$42,944","$20,243","$97,361",$0,$0,"$55,820",$483,"$245,705",$0,"$68,735","$7,476",$0,"$12,855","$22,690","$1,278","$10,588","$9,496",$549,"$2,169"
2010,Maryland,"$6,355,343","$1,396,362","$767,104","$183,994","$209,270","$572,537",$0,"$3,063","$322,538","$418,516","$1,276,246","$328,704","$286,479","$9,900","$6,166","$66,612","$52,418","$104,769","$321,055","$16,420","$2,619","$10,571"
2010,Massachusetts,"$4,284,559","$1,029,307","$416,288","$109,674","$122,590","$367,090",$0,"$51,659","$601,703","$22,297","$888,088",$544,"$251,683","$10,983",$147,"$33,844","$78,083","$149,815","$82,378","$53,446",$2,"$14,937"
2010,Michigan,"$13,634,326","$3,172,197","$1,369,427","$73,644","$373,734","$988,068","$2,372,017","$5,229","$460,492","$10,170","$1,788,156","$596,436","$752,110","$3,801",$0,"$247,358","$1,094,347","$108,722","$29,963","$87,919","$97,697","$2,839"
2010,Minnesota,"$5,135,056","$1,137,773","$450,236","$46,846","$251,716","$504,876",$0,$0,"$227,970","$64,948","$1,242,407",$0,"$407,698","$178,028","$57,920","$147,932","$59,839","$2,477","$218,329","$46,900","$8,173","$80,988"
2010,Mississippi,"$3,879,327","$446,609","$445,917","$100,557","$62,750","$252,459","$677,217",$257,"$118,264","$35,714","$895,859","$57,730","$445,201","$30,469",$674,"$61,758","$33,918","$46,558","$98,409","$57,184","$3,040","$8,783"
2010,Missouri,"$4,757,080","$914,572","$258,826","$112,256","$83,979","$683,566","$600,238",$0,"$134,048","$21,584","$997,565","$147,500","$361,860","$10,483","$1,872","$73,929","$186,505","$28,915","$67,604","$45,939","$25,106",$734
